Onliner ID;Раздел;Производитель;Товар;Артикул;id-предложения;Цена;Валюта;Описание предложения;Изготовитель;Импортер;Сервисный центр;Гарантия;Срок доставки по Минску;Срок доставки по РБ;Только для юр. лиц;Наличие на складе;В наличии на складе;Срок рассрочки по Халве;Onliner Prime;Цена по промокоду;Повышенная рассрочка Minipay;Кредит на «Родныя тавары»
;Болты, винты, шпильки;STARFIX;Болт М12х60 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-19513-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М12х70 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-19523-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М12х80 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-19533-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М12х90 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-19543-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М12х100 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-19553-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М12х160 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-19613-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М14х40 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-21493-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М14х50 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-21503-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М14х60 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-21513-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М14х70 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-21523-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М14х90 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-21543-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х13 мм с прессшайбой, цинк, острый (5 кг) STARFIX;SMV1-32764-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х14 мм с прессшайбой, цинк, острый (5 кг) STARFIX;SMV1-32765-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х16 мм с прессшайбой, цинк, острый (5 кг) STARFIX;SMV1-32767-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х13 мм с прессшайбой, цинк, со сверлом (5 кг) STARFIX;SMV1-50339-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х14 мм с прессшайбой, цинк, со сверлом (5 кг) STARFIX;SMV1-50340-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х16 мм с прессшайбой, цинк, со сверлом (5 кг) STARFIX;SMV1-50342-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х19 мм с прессшайбой, цинк, острый (5 кг) STARFIX;SMV1-32770-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х25 мм с прессшайбой, цинк, острый (5 кг) STARFIX;SMV1-32776-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х32 мм с прессшайбой, цинк, острый (5 кг) STARFIX;SMV1-32783-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х19 мм с прессшайбой, цинк, со сверлом (5 кг) STARFIX;SMV1-50345-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х25 мм с прессшайбой, цинк, со сверлом (5 кг) STARFIX;SMV1-50351-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х32 мм с прессшайбой, цинк, со сверлом (5 кг) STARFIX;SMV1-50358-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х41 мм с прессшайбой, цинк, острый (5 кг) STARFIX;SMV1-32792-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
